jersey,team,name,position,match_id,phase_label,phase_start,phase_end,scan_count,total_minutes,awi_per_minute,coverage_pct
1,1,Manuel Peter Neuer,TW,FCB-HSV,1st half,3330943,3484329,179,51.13,3.5,0.9613
2,1,Dayotchanculle Oswald Upamecano,IVR,FCB-HSV,1st half,3330943,3484329,519,51.13,10.15,0.9916
4,1,Jonathan Glao Tah,IVL,FCB-HSV,1st half,3330943,3484329,782,51.13,15.29,0.9939
6,1,Joshua Walter Kimmich,DMR,FCB-HSV,1st half,3330943,3484329,1113,51.13,21.77,0.9713
7,1,Serge David Gnabry,ZO,FCB-HSV,1st half,3330943,3484329,1041,51.13,20.36,0.9949
9,1,Harry Edward Kane,STZ,FCB-HSV,1st half,3330943,3484329,661,51.13,12.93,0.9787
14,1,Luis Fernando Díaz Marulanda,OLM,FCB-HSV,1st half,3330943,3484329,707,51.13,13.83,0.9822
17,1,Michael Akpovie Olise,ORM,FCB-HSV,1st half,3330943,3484329,624,51.13,12.2,0.9944
27,1,Konrad Laimer,RV,FCB-HSV,1st half,3330943,3484329,793,51.13,15.51,0.9945
44,1,Josip Stanišić,LV,FCB-HSV,1st half,3330943,3484329,415,51.13,8.12,0.9924
45,1,Aleksandar Pavlović,DML,FCB-HSV,1st half,3330943,3484329,833,51.13,16.29,0.9791
3,1,Minjae Kim,,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0
8,1,Leon Christoph Goretzka,,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0
26,1,Sven Ulreich,,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0
40,1,Jonas Kurt Urbig,,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0
11,1,Nicolas Jackson,STZ,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0
20,1,Tom Bischof,LV,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0
22,1,Raphaël Adelino José Guerreiro,LV,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0
23,1,Sacha Boey,RV,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0
42,1,Lennart Karl,ORM,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0
