jersey,team,name,position,match_id,phase_label,phase_start,phase_end,mean_pqi,median_pqi,std_pqi,n_press_frames,orientation_mean,stance_mean,proximity_mean,press_minutes,coverage_pct
23,1,Sacha Boey,RV,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
45,1,Aleksandar Pavlović,DML,FCB-HSV,1st half,3330943,3484329,62.73198352962961,63.94994230964856,16.180319521992246,150179,57.88438850574985,36.184697692169195,95.74272939892971,50.059666666666665,0.9790855809162445
27,1,Konrad Laimer,RV,FCB-HSV,1st half,3330943,3484329,59.36691321001595,59.89354230921181,16.750371267702846,152539,49.011183539003284,37.43688303978323,95.10458294159889,50.846333333333334,0.994471500192324
14,1,Luis Fernando Díaz Marulanda,OLM,FCB-HSV,1st half,3330943,3484329,58.954233388089335,59.605359330938796,16.74588417279094,150663,49.875399220552765,35.48888918704924,94.52468981251157,50.221000000000004,0.9822409982593049
3,1,Minjae Kim,,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
17,0,Warmed Omari,IVR,FCB-HSV,1st half,3330943,3484329,59.51311198175604,59.69741328287475,16.439965174491906,152047,49.75414904936134,37.21831143299441,94.81986310704391,50.68233333333333,0.9912639271907007
28,0,Miro Max Maria Muheim,DLM,FCB-HSV,1st half,3330943,3484329,58.439662307085655,58.97372537544818,16.457802543991875,152803,48.34990889416114,34.99372725490984,95.33860190982753,50.934333333333335,0.9961926369249023
8,0,Daniel Elfadli,IVL,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
1,0,Daniel Heuer Fernandes,TW,FCB-HSV,1st half,3330943,3484329,67.47777216348067,67.51795408869215,14.979880332121557,152755,72.81586625478509,35.390644818698306,92.44744071985713,50.91833333333333,0.9958797029735245
7,1,Serge David Gnabry,ZO,FCB-HSV,1st half,3330943,3484329,60.51625810559301,61.38824023710863,16.602998420596844,152611,52.9830622437945,35.309282969108615,95.76749439114208,50.87033333333333,0.9949409011193908
40,1,Jonas Kurt Urbig,,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
21,0,Nicolai Remberg,DMR,FCB-HSV,1st half,3330943,3484329,63.73074354504115,64.74776321927061,16.359406128958693,153387,57.5787806393308,39.806994708526794,95.85710958916933,51.129,1.0
22,1,Raphaël Adelino José Guerreiro,LV,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
20,1,Tom Bischof,LV,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
23,0,Jonas Meffert,DMR,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
45,0,Fabio Amado Uri Baldé,RA,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
3,0,Noah Katterbach,,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
14,0,Rayan Philippe,LA,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
9,1,Harry Edward Kane,STZ,FCB-HSV,1st half,3330943,3484329,60.68037072668882,61.603360765138675,17.038671816119233,150119,52.669911619487,36.58670480777005,95.45464878854337,50.03966666666667,0.9786944134770221
42,1,Lennart Karl,ORM,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
11,1,Nicolas Jackson,STZ,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
44,1,Josip Stanišić,LV,FCB-HSV,1st half,3330943,3484329,59.96798781990516,60.634269100612784,16.568617329266402,152227,52.92302665522721,35.15278006701947,94.1764771256948,50.742333333333335,0.9924374295083678
26,1,Sven Ulreich,,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
2,1,Dayotchanculle Oswald Upamecano,IVR,FCB-HSV,1st half,3330943,3484329,62.631292148811326,63.45881710493156,15.882221500524064,152103,58.47745159223037,35.7892812656506,95.01175710741335,50.701,0.9916290168006415
38,0,Alexander Rössing-Lelesiit,LA,FCB-HSV,1st half,3330943,3484329,61.982585682860574,63.11059648809443,16.524772500479642,152387,55.45911676049352,37.592799602334715,95.07033032654249,50.79566666666666,0.9934805426796274
6,1,Joshua Walter Kimmich,DMR,FCB-HSV,1st half,3330943,3484329,64.67716571329477,66.03577479570713,16.025970077084896,148991,61.450049719888746,37.637635958009426,96.01951679312151,49.66366666666667,0.9713404656196418
29,0,Emir Sahiti,,FCB-HSV,1st half,3330943,3484329,,,,0,,,,0.0,0.0
