jersey,team,name,position,match_id,phase_label,phase_start,phase_end,scan_count,total_minutes,awi_per_minute,coverage_pct,hbd_mean_deg,hbd_n_frames,scan_forward_pct,scan_lateral_pct,scan_blindside_pct,n_classified_scans,pre_pass_awi,pre_pass_scan_pct,n_passes_tracked
1,1,Manuel Peter Neuer,TW,FCB-HSV,1st half,3330943,3484329,179,51.13,3.5,0.9613,15.88,147447,0.9832,0.0168,0.0,179,13.0,0.0733,12
2,1,Dayotchanculle Oswald Upamecano,IVR,FCB-HSV,1st half,3330943,3484329,519,51.13,10.15,0.9916,13.17,152103,0.9942,0.0058,0.0,519,21.55,0.1285,44
4,1,Jonathan Glao Tah,IVL,FCB-HSV,1st half,3330943,3484329,782,51.13,15.29,0.9939,17.89,152451,0.991,0.009,0.0,782,22.09,0.1195,44
6,1,Joshua Walter Kimmich,DMR,FCB-HSV,1st half,3330943,3484329,1113,51.13,21.77,0.9713,16.57,148991,0.9838,0.0108,0.0054,1113,26.78,0.1474,69
7,1,Serge David Gnabry,ZO,FCB-HSV,1st half,3330943,3484329,1041,51.13,20.36,0.9949,17.39,152611,0.9962,0.0038,0.0,1041,30.19,0.1733,31
9,1,Harry Edward Kane,STZ,FCB-HSV,1st half,3330943,3484329,661,51.13,12.93,0.9787,15.16,150119,0.9939,0.0045,0.0015,661,29.33,0.1887,18
14,1,Luis Fernando Díaz Marulanda,OLM,FCB-HSV,1st half,3330943,3484329,707,51.13,13.83,0.9822,16.63,150663,0.9929,0.0071,0.0,707,15.75,0.0993,16
17,1,Michael Akpovie Olise,ORM,FCB-HSV,1st half,3330943,3484329,624,51.13,12.2,0.9944,13.4,152523,0.9984,0.0016,0.0,624,20.8,0.1567,30
27,1,Konrad Laimer,RV,FCB-HSV,1st half,3330943,3484329,793,51.13,15.51,0.9945,15.85,152539,0.9987,0.0013,0.0,793,31.61,0.1772,41
44,1,Josip Stanišić,LV,FCB-HSV,1st half,3330943,3484329,415,51.13,8.12,0.9924,16.55,152227,0.9976,0.0024,0.0,415,14.29,0.084,21
45,1,Aleksandar Pavlović,DML,FCB-HSV,1st half,3330943,3484329,833,51.13,16.29,0.9791,13.21,150179,0.9976,0.0024,0.0,833,30.79,0.1876,53
3,1,Minjae Kim,,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0,,0,,,,0,,,0
8,1,Leon Christoph Goretzka,,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0,,0,,,,0,,,0
26,1,Sven Ulreich,,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0,,0,,,,0,,,0
40,1,Jonas Kurt Urbig,,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0,,0,,,,0,,,0
11,1,Nicolas Jackson,STZ,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0,,0,,,,0,,,0
20,1,Tom Bischof,LV,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0,,0,,,,0,,,0
22,1,Raphaël Adelino José Guerreiro,LV,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0,,0,,,,0,,,0
23,1,Sacha Boey,RV,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0,,0,,,,0,,,0
42,1,Lennart Karl,ORM,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0,,0,,,,0,,,0
1,0,Daniel Heuer Fernandes,TW,FCB-HSV,1st half,3330943,3484329,310,51.13,6.06,0.9959,11.91,152755,0.9968,0.0,0.0032,310,6.67,0.0231,18
2,0,William Mikelbrencis,DRM,FCB-HSV,1st half,3330943,3484329,887,51.13,17.35,1.0,16.65,153387,0.9944,0.0056,0.0,887,32.0,0.1807,6
11,0,Ransford-Yeboah Königsdörffer,STZ,FCB-HSV,1st half,3330943,3484329,554,51.13,10.84,0.9911,15.09,152019,0.9874,0.0036,0.009,554,44.0,0.1987,3
17,0,Warmed Omari,IVR,FCB-HSV,1st half,3330943,3484329,631,51.13,12.34,0.9913,19.71,152047,0.9889,0.0111,0.0,631,15.53,0.0911,17
20,0,Fábio Daniel Ferreira Vieira,RA,FCB-HSV,1st half,3330943,3484329,1091,51.13,21.34,0.9949,19.23,152599,0.9734,0.0156,0.011,1091,29.0,0.1423,12
21,0,Nicolai Remberg,DMR,FCB-HSV,1st half,3330943,3484329,1049,51.13,20.52,1.0,17.74,153387,0.9952,0.0019,0.0029,1049,34.59,0.2113,17
22,0,Aboubaka Soumahoro,IVL,FCB-HSV,1st half,3330943,3484329,918,51.13,17.95,0.9978,14.91,153043,0.9935,0.0065,0.0,918,28.0,0.1578,24
24,0,Nicolas Capaldo Taboas,DML,FCB-HSV,1st half,3330943,3484329,1000,51.13,19.56,1.0,16.48,153387,0.998,0.002,0.0,1000,32.31,0.1785,13
28,0,Miro Max Maria Muheim,DLM,FCB-HSV,1st half,3330943,3484329,551,51.13,10.78,0.9962,17.63,152803,1.0,0.0,0.0,551,20.21,0.1537,19
44,0,Luka Vušković,IVZ,FCB-HSV,1st half,3330943,3484329,908,51.13,17.76,0.9992,19.59,153271,0.9978,0.0022,0.0,908,22.2,0.1332,20
38,0,Alexander Rössing-Lelesiit,LA,FCB-HSV,1st half,3330943,3484329,571,51.13,11.17,0.9935,15.69,152387,0.9965,0.0035,0.0,571,20.4,0.1504,10
3,0,Noah Katterbach,,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0,,0,,,,0,,,0
6,0,Albert-Mboyo Sambi Lokonga,,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0,,0,,,,0,,,0
26,0,Daniel Peretz,,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0,,0,,,,0,,,0
29,0,Emir Sahiti,,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0,,0,,,,0,,,0
8,0,Daniel Elfadli,IVL,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0,,0,,,,0,,,0
9,0,Robert-Nesta Glatzel,STZ,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0,,0,,,,0,,,0
14,0,Rayan Philippe,LA,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0,,0,,,,0,,,0
23,0,Jonas Meffert,DMR,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0,,0,,,,0,,,0
45,0,Fabio Amado Uri Baldé,RA,FCB-HSV,1st half,3330943,3484329,0,0.0,0.0,0.0,,0,,,,0,,,0
