jersey,team,name,position,match_id,phase_label,phase_start,phase_end,scan_count,total_minutes,awi_per_minute,coverage_pct,mean_pqi,median_pqi,std_pqi,n_press_frames,press_minutes,orientation_mean,stance_mean,proximity_mean,coverage_pct_pqi
33,1,Alexander Nübel,TW,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
6,1,Angelo Stiller,DML,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
7,1,Maximilian Mittelstädt,IVL,BVB-VFB,1st half,2790134,2935531,801,48.47,16.53,0.996,65.29140516890817,66.23178257406192,15.433103764688202,144818,48.272666666666666,62.185175986012,39.080189833523,95.64425941482158,0.9960109492565234
8,1,Tiago Barreiros de Melo Tomás,OHR,BVB-VFB,1st half,2790134,2935531,843,48.47,17.39,1.0,63.183309285202654,64.12338380359034,15.7923642117915,145398,48.466,56.79005708495605,39.337177119991246,95.55377771740952,1.0
11,1,Bilal El Khannouss,OHL,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
18,1,Jamie Leweling,DLM,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
22,1,Lorenz Assignon,DRM,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
24,1,Julian Jeffrey Gaston Chabot,IVZ,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
26,1,Deniz Undav,STZ,BVB-VFB,1st half,2790134,2935531,653,48.47,13.47,1.0,60.74774024072355,61.85828587974879,17.062413429401587,145394,48.464666666666666,51.91903044590654,39.36600449896809,93.90108904223506,0.9999724893052174
29,1,Finn Jeltsch,IVR,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
30,1,José María Andrés Baixauli,DMR,BVB-VFB,1st half,2790134,2935531,0,0.0,0.0,0.0,,,,0,0.0,,,,0.0
