match_id,phase_label,jersey,team,name,pass_frame,minute,pre_pass_scan_count,window_coverage
FCB-HSV,2nd half,6,1,Joshua Walter Kimmich,3607319,23.6,9,1.0
FCB-HSV,1st half,45,1,Aleksandar Pavlović,3373898,14.3,7,1.0
FCB-HSV,1st half,27,1,Konrad Laimer,3364853,11.3,7,1.0
FCB-HSV,1st half,4,1,Jonathan Glao Tah,3351053,6.7,7,1.0
FCB-HSV,2nd half,17,0,Warmed Omari,3622035,28.5,7,1.0
BVB-VFB,1st half,7,1,Maximilian Mittelstädt,2848221,19.4,6,1.0
BVB-VFB,1st half,7,1,Maximilian Mittelstädt,2848429,19.4,5,1.0
BVB-VFB,1st half,7,0,Jobe Samuel Patrick Bellingham,2866050,25.3,5,1.0
BVB-VFB,1st half,7,0,Jobe Samuel Patrick Bellingham,2932102,47.3,5,1.0
BVB-VFB,2nd half,26,1,Deniz Undav,3033481,16.5,5,1.0
SGE-FCB,2nd half,27,1,Konrad Laimer,3652021,41.9,6,1.0
SGE-FCB,2nd half,20,0,Ritsu Dōan,3661703,45.1,6,1.0
SGE-FCB,2nd half,6,0,Oscar Winther Höjlund,3649230,41.0,6,1.0
SGE-FCB,2nd half,6,0,Oscar Winther Höjlund,3660576,44.7,6,1.0
SGE-FCB,2nd half,4,0,Robin Leon Koch,3571712,15.1,5,1.0
SGE-FCU,2nd half,6,1,Oscar Winther Höjlund,3066272,25.8,8,1.0
SGE-FCU,2nd half,21,1,Nathaniel Brown,3134713,48.6,8,1.0
SGE-FCU,1st half,21,1,Nathaniel Brown,2801352,3.7,7,1.0
SGE-FCU,2nd half,3,1,Arthur Nicolas Theate,3065656,25.6,7,1.0
SGE-FCU,2nd half,6,1,Oscar Winther Höjlund,3038418,16.5,7,1.0
FCU-FCB,1st half,6,1,Joshua Walter Kimmich,2791067,0.2,7,1.0
FCU-FCB,2nd half,6,0,Aljoscha Kemlein,3006092,5.5,7,1.0
FCU-FCB,1st half,14,0,Leopold Querfeld,2805514,5.0,6,1.0
FCU-FCB,1st half,6,1,Joshua Walter Kimmich,2840751,16.7,6,1.0
FCU-FCB,1st half,6,1,Joshua Walter Kimmich,2899607,36.3,6,1.0
