jersey,team,name,position,match_id,phase_label,phase_start,phase_end,mean_pqi,median_pqi,std_pqi,n_press_frames,orientation_mean,stance_mean,proximity_mean,press_minutes,coverage_pct
23,1,Dan-Axel Zagadou,,BVB-VFB,1st half,2790134,2935531,61.80387571903582,62.79886619232599,15.830744716727173,145398,57.292768568388595,35.15675335689115,94.46580761537685,48.466,1.0
4,0,Nico Cedric Schlotterbeck,IVL,BVB-VFB,1st half,2790134,2935531,,,,0,,,,0.0,0.0
27,1,Badredine Bouanani,,BVB-VFB,1st half,2790134,2935531,,,,0,,,,0.0,0.0
3,1,Ramon Hendriks,IVL,BVB-VFB,1st half,2790134,2935531,61.845370610943256,62.60694361059325,15.481364574440152,145398,58.03892500556171,34.18244857536306,94.58355345369888,48.466,1.0
17,0,Carney Chibueze Chukwuemeka,OHL,BVB-VFB,1st half,2790134,2935531,,,,0,,,,0.0,0.0
28,0,Aarón Anselmino,,BVB-VFB,1st half,2790134,2935531,,,,0,,,,0.0,0.0
8,0,Felix Kalu Nmecha,DML,BVB-VFB,1st half,2790134,2935531,62.67358276393979,63.49295181981318,16.357510715043567,145398,56.44428403030541,38.4505238182949,95.20237335443056,48.466,1.0
10,0,Julian Brandt,OHR,BVB-VFB,1st half,2790134,2935531,,,,0,,,,0.0,0.0
1,0,Gregor Kobel,TW,BVB-VFB,1st half,2790134,2935531,,,,0,,,,0.0,0.0
16,1,Atakan Karazor,DMR,BVB-VFB,1st half,2790134,2935531,,,,0,,,,0.0,0.0
7,1,Maximilian Mittelstädt,IVL,BVB-VFB,1st half,2790134,2935531,65.29140516890817,66.23178257406192,15.433103764688202,144818,62.185175986012,39.080189833523,95.64425941482158,48.272666666666666,0.9960109492565234
18,1,Jamie Leweling,DLM,BVB-VFB,1st half,2790134,2935531,,,,0,,,,0.0,0.0
29,1,Finn Jeltsch,IVR,BVB-VFB,1st half,2790134,2935531,,,,0,,,,0.0,0.0
21,0,Fabio Daniel Soares Silva,OHL,BVB-VFB,1st half,2790134,2935531,,,,0,,,,0.0,0.0
22,1,Lorenz Assignon,DRM,BVB-VFB,1st half,2790134,2935531,,,,0,,,,0.0,0.0
23,0,Emre Can,IVZ,BVB-VFB,1st half,2790134,2935531,,,,0,,,,0.0,0.0
3,0,Waldemar Anton,IVR,BVB-VFB,1st half,2790134,2935531,,,,0,,,,0.0,0.0
14,0,Maximilian Beier,DLM,BVB-VFB,1st half,2790134,2935531,,,,0,,,,0.0,0.0
27,0,Karim David Adeyemi,OHR,BVB-VFB,1st half,2790134,2935531,,,,0,,,,0.0,0.0
11,1,Bilal El Khannouss,OHL,BVB-VFB,1st half,2790134,2935531,,,,0,,,,0.0,0.0
33,1,Alexander Nübel,TW,BVB-VFB,1st half,2790134,2935531,,,,0,,,,0.0,0.0
26,1,Deniz Undav,STZ,BVB-VFB,1st half,2790134,2935531,60.74774024072355,61.85828587974879,17.062413429401587,145394,51.91903044590654,39.36600449896809,93.90108904223506,48.464666666666666,0.9999724893052174
2,1,Ameen Al-Dakhil,,BVB-VFB,1st half,2790134,2935531,,,,0,,,,0.0,0.0
24,1,Julian Jeffrey Gaston Chabot,IVZ,BVB-VFB,1st half,2790134,2935531,,,,0,,,,0.0,0.0
6,1,Angelo Stiller,DML,BVB-VFB,1st half,2790134,2935531,,,,0,,,,0.0,0.0
7,0,Jobe Samuel Patrick Bellingham,DMR,BVB-VFB,1st half,2790134,2935531,61.14279370939262,62.48433153630752,16.64650869287228,145398,55.93301688183055,34.8325827592328,94.39937376296854,48.466,1.0
20,0,Marcel Sabitzer,,BVB-VFB,1st half,2790134,2935531,,,,0,,,,0.0,0.0
